Date de la valeur (UTC),Nom de la contrepartie,Montant total (TTC)
09-09-2024 07:11:37,LEMONWAY SAS,20,00
01-09-2024 15:07:29,Qonto,-40,80
22-08-2024 05:17:32,FINACOOP,-292,56
05-08-2024 10:22:26,INDIE HOSTERS,-576,00
02-08-2024 10:21:00,XB CONSEIL,-5200,00
01-08-2024 14:59:39,Qonto,-40,80
23-07-2024 05:44:41,FINACOOP,-292,56
05-07-2024 06:39:14,MATMUT ROUEN,-149,14
04-07-2024 15:40:10,XB CONSEIL,-4400,00
01-07-2024 14:46:34,Qonto,-40,80
21-06-2024 21:34:15,Alexis FITZJEAN Ó COBHTHAIGH,-4800,00
21-06-2024 05:31:38,FINACOOP,-292,56
13-06-2024 06:57:36,AARHUS UNIVERSITET,35850,00
01-06-2024 14:31:41,Qonto,-40,80
29-05-2024 20:18:55,XB CONSEIL,-2400,00
20-05-2024 05:29:19,FINACOOP,-292,56
01-05-2024 14:18:17,Qonto,-40,80
23-04-2024 05:25:26,FINACOOP,-292,56
01-04-2024 14:05:07,Qonto,-40,80
28-03-2024 14:12:29,E.I. PIERRE-ALAIN LEBOUCHER,-1750,00
28-03-2024 14:09:05,XB CONSEIL,-3600,00
28-03-2024 14:07:25,XB CONSEIL,-7200,00
21-03-2024 06:38:31,FINACOOP,-292,56
13-03-2024 11:02:27,AARHUS UNIVERSITET,23900,00
01-03-2024 14:05:47,Qonto,-40,80
29-02-2024 11:32:56,AARHUS UNIVERSITET,17925,00
21-02-2024 12:12:10,WEDODATA SAS,-9000,00
01-02-2024 14:06:14,Qonto,-40,80
22-01-2024 12:18:30,Jump Blue (Laurent Savaete),-4742,40
16-01-2024 21:48:19,E.I. PIERRE-ALAIN LEBOUCHER,-750,00
08-01-2024 15:17:04,LEMONWAY SAS,10,00
05-01-2024 09:03:28,XB CONSEIL,-13390,00
05-01-2024 06:30:25,MATMUT ROUEN,-169,37
01-01-2024 14:02:41,Qonto,-40,80
27-12-2023 09:40:34,Jump Blue (Laurent Savaete),-6240,00
21-12-2023 14:48:49,finacoop,-731,40
11-12-2023 11:11:03,PayPal Europe S.a.r.l. et Cie S.C.A,0,01
04-12-2023 18:58:44,Jump Blue (Laurent Savaete),-3244,80
01-12-2023 14:13:47,Qonto,-40,80
12-11-2023 21:31:12,Jump Blue (Laurent Savaete),-4992,00
12-11-2023 21:30:11,Jump Blue (Laurent Savaete),-6489,60
01-11-2023 14:02:50,Qonto,-40,80
16-10-2023 09:46:54,XB CONSEIL,-900,00
13-10-2023 10:00:08,AARHUS UNIVERSITET,17925,00
02-10-2023 23:09:04,Johanna Rieger,-525,00
01-10-2023 14:02:30,Qonto,-40,80
05-09-2023 07:20:55,Jump Blue (Laurent Savaete),-8236,80
05-09-2023 06:59:02,XB CONSEIL,-7310,00
01-09-2023 14:02:52,Qonto,-40,80
11-08-2023 15:34:00,Edlira Nano,-2000,00
11-08-2023 15:33:05,Edlira Nano,-1600,00
11-08-2023 15:32:18,Edlira Nano,-1600,00
11-08-2023 15:31:19,Edlira Nano,-1600,00
11-08-2023 15:29:57,librev - Edlira Nano,-1600,00
01-08-2023 14:02:43,Qonto,-40,80
31-07-2023 10:29:31,Jump Blue (Laurent Savaete),-4492,80
31-07-2023 10:23:46,LAURENT SAVAETE,4492,80
26-07-2023 06:42:41,Laurent Savaete,-4492,80
10-07-2023 15:08:47,XB CONSEIL,-4120,00
10-07-2023 15:07:29,XB CONSEIL,-3300,00
01-07-2023 02:38:04,Qonto,-40,80
29-06-2023 09:56:56,AARHUS UNIVERSITET,23900,00
14-06-2023 07:01:54,XB CONSEIL,-4560,00
01-06-2023 02:38:08,Qonto,-34,80
17-05-2023 07:02:32,Indie Hosters,-480,00
16-05-2023 21:12:36,XB CONSEIL,-2400,00
16-05-2023 21:10:33,XB CONSEIL,-3600,00
05-05-2023 10:53:10,Alexis FITZJEAN Ó COBHTHAIGH,-7200,00
01-05-2023 02:38:11,Qonto,-34,80
01-04-2023 02:36:06,Qonto,-34,80
03-03-2023 10:53:21,CLARA BIS,-3999,60
01-03-2023 02:36:24,Qonto,-34,80
01-02-2023 02:36:26,Qonto,-34,80
11-01-2023 10:57:52,LEMONWAY SAS,20,00
01-01-2023 02:36:29,Qonto,-34,80
23-12-2022 12:44:38,Johanna Rieger,-780,00
23-12-2022 12:40:48,librev - Edlira Nano,-1600,00
23-12-2022 12:39:40,librev - Edlira Nano,-1600,00
01-12-2022 02:36:30,Qonto,-34,80
25-11-2022 14:26:42,M PASCAL ROMAIN,-1200,00
22-11-2022 13:08:25,Jump Blue,-8400,00
04-11-2022 11:47:07,SCBCM DU MINISTERE DE LA JUSTICE ET DES SERVICES DU PREMIER MINISTRE,80000,00
04-11-2022 09:14:43,librev - Edlira Nano,-1600,00
04-11-2022 09:10:33,librev - Edlira Nano,-1600,00
01-11-2022 02:36:27,Qonto,-34,80
24-10-2022 11:16:09,Stichting Nlnet,800,00
21-10-2022 14:35:21,Stichting Nlnet,800,00
21-10-2022 09:15:28,Stichting Nlnet,4000,00
21-10-2022 09:15:28,Stichting Nlnet,400,00
21-10-2022 09:15:27,Stichting Nlnet,800,00
21-10-2022 09:15:27,Stichting Nlnet,4400,00
21-10-2022 09:15:27,Stichting Nlnet,2800,00
11-10-2022 14:37:53,LEMONWAY,50,00
01-10-2022 02:36:41,Qonto,-34,80
29-09-2022 10:51:47,librev - Edlira Nano,-6400,00
27-09-2022 15:42:31,Stichting Nlnet,1200,00
27-09-2022 15:42:31,Stichting Nlnet,2400,00
15-09-2022 15:46:10,Stichting Nlnet,1600,00
15-09-2022 15:46:10,Stichting Nlnet,1600,00
15-09-2022 15:46:09,Stichting Nlnet,3200,00
14-09-2022 10:15:02,LEMONWAY SAS,60,00
01-09-2022 02:36:42,Qonto,-34,80
26-08-2022 07:03:06,librev - Edlira Nano,-1600,00
19-08-2022 09:23:57,Stichting Nlnet,1600,00
01-08-2022 02:36:41,Qonto,-34,80
01-07-2022 02:36:39,Qonto,-34,80
24-06-2022 10:00:55,librev - Edlira Nano,-1600,00
20-06-2022 14:48:37,Stichting Nlnet,1200,00
06-06-2022 07:02:49,Laurent Savaete,-1600,00
06-06-2022 07:03:53,librev - Edlira Nano,-1600,00
01-06-2022 01:46:10,Qonto,-34,80
31-05-2022 07:08:16,librev - Edlira Nano,-1200,00
27-05-2022 16:06:46,Stichting Nlnet,800,00
27-05-2022 16:06:41,Stichting Nlnet,4000,00
20-05-2022 07:11:15,Johanna Rieger,-240,00
20-05-2022 07:11:04,Indie Hosters,-288,00
09-05-2022 07:26:18,OPEN KNOWLEDGE FRANCE,154,13
04-05-2022 07:04:09,librev - Edlira Nano,-1600,00
01-05-2022 01:46:12,Qonto,-34,80
13-04-2022 10:04:12,librev - Edlira Nano,-1200,00
12-04-2022 09:00:41,OKF France,3500,00
06-04-2022 16:14:27,Qonto,-34,80
06-04-2022 16:14:27,Qonto,-4,04
06-04-2022 15:54:03,LA QUADRATURE DU NET,500,00
